Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-06-22,10175.92,11157.35,10107.04,10701.69,3841.59,3953.69,3722.88,3848.83
2019-06-21,9525.07,10144.56,9525.07,10144.56,3834.49,3945.89,3715.81,3841.35
2019-06-20,9273.06,9594.42,9232.48,9527.16,3827.85,3938.81,3709.18,3834.27
2019-06-19,9078.73,9299.62,9070.40,9273.52,3821.39,3932.13,3702.74,3827.64
2019-06-18,9335.47,9348.37,9004.90,9081.76,3815.07,3925.65,3696.42,3821.17
2019-06-17,8988.92,9416.41,8988.92,9320.35,3808.59,3919.16,3690.14,3814.84
2019-06-16,8841.44,9335.87,8814.56,8994.49,3802.35,3912.62,3683.91,3808.36
2019-06-15,8689.75,8859.13,8618.40,8838.38,3796.22,3906.14,3677.79,3802.12
2019-06-14,8230.90,8710.64,8183.39,8693.83,3790.20,3900.00,3671.82,3796.00
2019-06-13,8145.55,8311.57,8087.06,8230.92,3784.51,3893.97,3666.17,3789.98
2019-06-12,7925.43,8196.65,7862.36,8145.86,3778.89,3888.22,3660.58,3784.29
2019-06-11,8004.24,8026.39,7772.80,7927.71,3773.42,3882.56,3655.15,3778.66
2019-06-10,7692.28,8031.91,7586.73,8000.33,3767.89,3877.02,3649.79,3773.19
2019-06-09,7949.67,7975.97,7583.22,7688.08,3762.58,3871.48,3644.56,3767.66
2019-06-08,8036.77,8076.89,7837.61,7954.13,3757.09,3865.97,3639.32,3762.36
2019-06-07,7826.90,8126.15,7788.37,8043.95,3751.55,3860.40,3633.91,3756.87
2019-06-06,7819.63,7937.34,7571.47,7822.02,3746.16,3854.80,3628.55,3751.32
2019-06-05,7704.34,7901.85,7668.67,7824.23,3740.78,3849.33,3623.34,3745.93
2019-06-04,8210.99,8210.99,7564.49,7707.77,3735.48,3843.89,3618.06,3740.54
2019-06-03,8741.75,8743.50,8204.19,8209.00,3729.81,3838.23,3612.86,3735.24
2019-06-02,8565.47,8809.30,8561.24,8742.96,3723.77,3832.19,3607.20,3729.58
2019-06-01,8573.84,8625.60,8481.58,8564.02,3717.85,3826.09,3601.28,3723.54
2019-05-31,8320.29,8586.66,8172.55,8574.50,3711.93,3820.14,3595.42,3717.62
2019-05-30,8661.76,9008.31,8221.27,8319.47,3706.19,3814.21,3589.79,3711.70
2019-05-29,8718.59,8755.85,8482.73,8659.49,3700.21,3807.98,3584.12,3705.96
2019-05-28,8802.76,8807.02,8634.72,8719.96,3694.20,3801.94,3578.27,3699.98
2019-05-27,8674.07,8907.17,8668.71,8805.78,3688.12,3795.86,3572.31,3693.96
2019-05-26,8055.21,8687.52,7924.67,8673.22,3682.13,3789.71,3566.32,3687.88
2019-05-25,7991.89,8117.93,7965.98,8052.54,3676.58,3783.72,3560.87,3681.90
2019-05-24,7881.70,8140.72,7824.45,7987.37,3671.08,3778.12,3555.38,3676.35
2019-05-23,7677.27,7943.79,7533.20,7881.85,3665.65,3772.52,3549.99,3670.85
2019-05-22,7956.29,7997.61,7615.99,7680.07,3660.36,3767.04,3544.81,3665.42
2019-05-21,7977.97,8062.17,7843.34,7963.33,3654.88,3761.53,3539.56,3660.13
2019-05-20,8196.92,8200.97,7678.78,7978.31,3649.38,3755.97,3534.16,3654.64
2019-05-19,7267.96,8261.94,7267.96,8197.69,3643.72,3750.31,3528.87,3649.14
2019-05-18,7341.66,7447.27,7251.50,7271.21,3638.72,3744.60,3523.87,3643.48
2019-05-17,7886.93,7929.15,7038.12,7343.90,3633.68,3739.49,3518.89,3638.49
2019-05-16,8194.50,8320.82,7729.61,7884.91,3628.24,3734.02,3514.05,3633.44
2019-05-15,7989.37,8216.42,7899.11,8205.17,3622.59,3728.29,3508.73,3628.01
2019-05-14,7807.88,8268.71,7696.39,7994.42,3617.09,3722.63,3503.29,3622.35
2019-05-13,6971.18,8047.41,6898.28,7814.92,3611.73,3716.93,3498.00,3616.84
2019-05-12,7203.51,7503.87,6815.77,6972.37,3606.97,3711.41,3493.27,3611.47
2019-05-11,6379.67,7333.00,6375.70,7204.77,3602.03,3706.27,3488.61,3606.71
2019-05-10,6175.82,6434.62,6161.52,6378.85,3597.68,3701.25,3484.26,3601.77
2019-05-09,5982.32,6183.04,5982.32,6174.53,3593.46,3696.86,3480.05,3597.42
2019-05-08,5849.48,5989.98,5794.72,5982.46,3589.38,3692.64,3475.97,3593.20
2019-05-07,5745.60,5988.18,5741.40,5829.50,3585.39,3688.56,3472.02,3589.12
2019-05-06,5791.69,5802.96,5653.69,5746.81,3581.48,3684.47,3468.11,3585.15
2019-05-05,5831.07,5833.86,5708.04,5795.71,3577.54,3680.52,3464.26,3581.24
2019-05-04,5769.20,5886.89,5645.47,5831.17,3573.56,3676.55,3460.37,3577.29
2019-05-03,5505.55,5865.88,5490.20,5768.29,3569.62,3672.54,3456.52,3573.31
2019-05-02,5402.42,5522.26,5394.22,5505.28,3565.87,3668.53,3452.77,3569.38
2019-05-01,5350.91,5418.00,5347.65,5402.70,3562.20,3664.77,3449.10,3565.63
2019-04-30,5247.73,5363.26,5224.19,5350.73,3558.56,3661.09,3445.47,3561.95
2019-04-29,5284.86,5311.27,5216.49,5247.35,3555.00,3657.45,3441.92,3558.32
2019-04-28,5271.75,5326.23,5255.68,5285.14,3551.40,3653.84,3438.37,3554.75
2019-04-27,5279.47,5310.75,5233.64,5268.29,3547.81,3650.22,3434.79,3551.16
2019-04-26,5210.30,5383.63,5177.37,5279.35,3544.22,3646.60,3431.23,3547.57
2019-04-25,5466.52,5542.24,5181.34,5210.52,3540.67,3642.93,3427.70,3543.98
2019-04-24,5571.51,5642.04,5418.26,5464.87,3536.93,3639.15,3424.17,3540.43
2019-04-23,5399.37,5633.80,5389.41,5572.36,3533.13,3635.29,3420.47,3536.70
2019-04-22,5312.49,5422.69,5280.28,5399.37,3529.45,3631.44,3416.80,3532.89
2019-04-21,5335.88,5359.92,5257.34,5314.53,3525.83,3627.75,3413.20,3529.21
