Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close,200_WMA_Dollar_1_Day,200_WMA_Percent_1_Day,Price_Change_Dollar_200_Week,Price_Change_Percent_200_Week,Price_Change_Dollar_Same_Day_Swing,Price_Change_Percent_Same_Day_Swing,Price_Change_Dollar_1_Day,Price_Change_Percent_1_Day
2025-08-27,111795.71,112619.41,110398.27,111222.06,51854.84,52803.56,50875.14,51889.43,37.68,0.07,52739.68,90.18,2221.15,2.0,-580.59,-0.52
2025-08-26,110124.10,112397.02,108762.04,111802.66,51818.09,52767.00,50837.86,51851.75,36.75,0.07,51438.86,85.21,3634.98,3.3,1678.30,1.52
2025-08-25,113456.90,113637.84,109324.28,110124.35,51784.45,52731.88,50803.02,51815.00,33.62,0.06,47084.53,74.69,4313.56,3.9,-3334.08,-2.94
2025-08-24,115387.39,115615.09,111060.55,113458.43,51746.91,52696.22,50768.27,51781.38,37.53,0.07,52527.59,86.21,4554.54,4.0,-1915.90,-1.66
2025-08-23,116866.37,116996.25,114536.11,115374.33,51708.32,52657.57,50731.55,51743.85,38.56,0.07,53980.71,87.93,2460.14,2.1,-1499.76,-1.28
2025-08-22,112433.73,117377.40,111678.95,116874.09,51668.20,52618.10,50692.47,51705.29,40.13,0.08,56181.82,92.57,5698.45,4.9,4455.05,3.96
2025-08-21,114275.69,114802.65,111986.23,112419.03,51632.34,52579.77,50655.64,51665.16,35.86,0.07,50208.86,80.71,2816.41,2.5,-1855.71,-1.62
2025-08-20,112828.02,114625.80,112387.96,114274.74,51597.86,52545.34,50620.02,51629.30,34.48,0.07,48281.91,73.16,2237.84,2.0,1443.56,1.28
2025-08-19,116241.86,116764.50,112730.40,112831.18,51563.18,52511.27,50585.18,51594.82,34.70,0.07,48569.19,75.58,4034.10,3.6,-3421.13,-2.94
2025-08-18,117453.91,117614.17,114723.68,116252.31,51524.47,52473.90,50548.68,51560.12,38.73,0.08,54226.23,87.42,2890.49,2.5,-1200.75,-1.02
2025-08-17,117492.79,118595.77,117279.52,117453.06,51484.55,52434.61,50509.60,51521.39,39.93,0.08,55899.45,90.81,1316.25,1.1,-38.29,-0.03
2025-08-16,117398.42,117996.06,117271.95,117491.35,51444.12,52393.93,50468.10,51481.46,40.42,0.08,56599.17,92.95,724.11,0.6,93.00,0.08
2025-08-15,118365.78,119332.31,116864.57,117398.35,51404.27,52354.13,50427.34,51441.04,39.87,0.08,55804.40,90.60,2467.74,2.1,-961.23,-0.81
2025-08-14,123339.40,124457.12,117254.88,118359.58,51360.68,52313.72,50384.48,51401.17,43.60,0.08,61038.05,106.48,7202.23,6.1,-4984.48,-4.04
2025-08-13,120168.98,123682.45,118939.63,123344.06,51313.56,52266.58,50341.42,51357.57,47.11,0.09,65942.97,114.88,4742.82,3.8,3171.16,2.64
2025-08-12,118717.66,120302.47,118228.72,120172.91,51267.76,52219.45,50295.30,51310.46,45.81,0.09,64131.85,114.44,2073.75,1.7,1441.46,1.21
2025-08-11,119306.81,122321.09,118159.03,118731.45,51224.06,52174.69,50249.77,51264.65,43.74,0.09,61246.66,106.54,4162.06,3.5,-575.31,-0.48
2025-08-10,116497.72,119320.71,116485.16,119306.76,51177.94,52128.59,50204.31,51220.91,46.09,0.09,64535.18,117.83,2835.55,2.4,2806.40,2.41
2025-08-09,116678.27,117906.61,116363.84,116500.36,51133.98,52083.64,50159.86,51174.82,43.96,0.09,61532.14,111.94,1542.77,1.3,-188.37,-0.16
2025-08-08,117505.50,117689.20,115917.46,116688.73,51089.15,52039.00,50115.13,51130.86,44.80,0.09,62720.88,116.22,1771.74,1.5,-808.17,-0.69
2025-08-07,115030.05,117676.91,114279.71,117496.90,51043.66,51994.86,50070.68,51086.06,45.49,0.09,63690.91,118.37,3397.20,2.9,2468.90,2.15
2025-08-06,114140.91,115737.84,113372.25,115028.00,51001.02,51950.34,50027.29,51040.57,42.62,0.08,59666.55,107.78,2365.59,2.1,886.55,0.78
2025-08-05,115072.19,115117.44,112701.11,114141.45,50956.27,51907.36,49982.37,50997.95,44.73,0.09,62626.63,121.57,2416.33,2.1,-930.44,-0.81
2025-08-04,114223.92,115729.47,114130.41,115071.88,50909.20,51862.16,49936.92,50953.22,47.12,0.09,65958.98,134.30,1599.06,1.4,854.21,0.75
2025-08-03,112525.80,114747.42,111943.80,114217.67,50862.05,51814.82,49889.00,50906.10,47.16,0.09,66017.72,136.97,2803.62,2.5,1690.76,1.50
2025-08-02,113320.39,114021.60,112005.77,112526.91,50815.73,51767.94,49842.73,50858.94,46.29,0.09,64815.43,135.85,2015.84,1.8,-793.17,-0.70
